;Date;Q-P1;Q-P2;Q-P3;Q-P4
200;30.12.2010;6216;3519;5529;1807
201;01.01.2011;281;3956;4186;1537
202;02.01.2011;7665;1350;4266;1789
203;03.01.2011;937;3758;4311;314
204;04.01.2011;6378;968;4530;995
205;05.01.2011;731;2174;5908;1505
206;06.01.2011;2032;3556;349;815
207;07.01.2011;1514;3321;5699;1371
208;08.01.2011;410;865;2384;1502
209;09.01.2011;489;3673;3283;522
210;10.01.2011;1326;2810;4408;1535
211;11.01.2011;2535;3027;4185;1219
212;12.01.2011;351;3737;1581;986
213;13.01.2011;2480;676;5982;475
214;14.01.2011;408;2952;3147;1635
215;15.01.2011;2428;1279;4992;452
216;16.01.2011;1593;2972;409;343
217;17.01.2011;5324;1418;3883;687
218;18.01.2011;2623;586;385;1651
219;19.01.2011;3082;357;4745;1805
220;20.01.2011;562;3519;1232;864
221;21.01.2011;7642;2224;5279;651
222;22.01.2011;4351;2127;1694;508
223;23.01.2011;6487;426;3380;1576
224;24.01.2011;2604;821;586;1567
225;25.01.2011;7652;339;1610;377
226;26.01.2011;295;762;2728;477
227;27.01.2011;1486;2309;3206;975
228;28.01.2011;2002;1770;709;1363
229;29.01.2011;6688;1529;2796;1808
230;30.01.2011;5943;2206;5708;1427
231;31.01.2011;939;3325;1863;1612
232;01.02.2011;7590;1909;3479;960
233;02.02.2011;1914;3478;3420;1373
234;03.02.2011;2559;674;5250;1171
235;04.02.2011;1887;3763;4099;858
236;05.02.2011;4925;3326;3186;1174
237;06.02.2011;1814;3589;1183;1581
238;07.02.2011;513;2802;5147;890
239;08.02.2011;2717;496;1777;1875
240;09.02.2011;3652;2629;1739;1835
241;10.02.2011;3072;762;2218;449
242;11.02.2011;1912;2167;5992;891
243;12.02.2011;1003;578;1188;1549
244;13.02.2011;7652;1813;4636;990
245;14.02.2011;1845;799;4669;1012
246;15.02.2011;1601;2924;4384;1480
247;16.02.2011;3735;266;5017;1574
248;17.02.2011;5129;3374;258;631
249;18.02.2011;299;1945;5483;1527
250;19.02.2011;6216;3625;5546;961
251;20.02.2011;1953;3677;2640;1219
252;21.02.2011;5691;2610;595;1462
253;22.02.2011;5590;2418;1327;575
254;23.02.2011;1402;1086;2256;1138
255;24.02.2011;3491;2529;3646;1872
256;25.02.2011;6231;3713;916;564
257;26.02.2011;6113;3831;4455;1969
258;27.02.2011;1464;3861;2510;1841
259;28.02.2011;3338;3434;4400;1571
260;01.03.2011;5454;998;2637;1233
261;02.03.2011;7204;811;5885;475
262;03.03.2011;7588;1054;1370;395
263;04.03.2011;4454;1135;5698;270
264;05.03.2011;4281;524;593;1970
265;06.03.2011;2297;270;3216;1964
266;07.03.2011;1846;1503;2769;1700
267;08.03.2011;6073;1068;1075;596
268;09.03.2011;6109;3729;5224;1681
269;10.03.2011;6477;3178;747;822
270;11.03.2011;6226;2493;3489;751
271;12.03.2011;2626;1626;1794;1725
272;13.03.2011;6693;2292;5488;1078
273;14.03.2011;1698;509;620;1221
274;15.03.2011;3982;3468;3067;487
275;16.03.2011;1645;3966;4044;1626
276;17.03.2011;5848;1072;2651;337
277;18.03.2011;824;1263;1278;1826
278;19.03.2011;1342;3246;4990;1546
279;20.03.2011;581;883;1833;718
280;21.03.2011;1906;1021;5985;1411
281;22.03.2011;7910;1290;2715;1375
282;23.03.2011;2320;983;505;633
283;24.03.2011;7283;3595;5422;747
284;25.03.2011;2316;2964;1346;315
285;26.03.2011;6993;2134;2058;427
286;27.03.2011;4148;3816;2449;1163
287;28.03.2011;5076;2352;1230;1550
288;29.03.2011;7922;2889;4665;356
289;30.03.2011;1174;3980;4739;1168
290;31.03.2011;464;2220;421;1663
291;01.04.2011;4176;1068;1958;1985
292;02.04.2011;1314;3826;1653;1874
293;03.04.2011;1947;2925;4086;1794
294;04.04.2011;2226;3245;1005;746
295;05.04.2011;3159;1842;1408;421
296;06.04.2011;6244;3283;2935;395
297;07.04.2011;7436;1300;3444;1945
298;08.04.2011;6742;2425;4512;1168
299;09.04.2011;483;507;2413;1389
300;10.04.2011;3840;617;1239;1696
301;11.04.2011;2471;1187;5553;1572
302;12.04.2011;2651;1807;3716;701
303;13.04.2011;3096;1732;2198;607
304;14.04.2011;2764;641;743;263
305;15.04.2011;1836;698;5337;1119
306;16.04.2011;4836;1505;5600;519
307;17.04.2011;2900;1512;2201;1641
308;18.04.2011;2501;3322;4078;1683
309;19.04.2011;610;2304;2971;1657
310;20.04.2011;2319;3222;704;1208
311;21.04.2011;7155;1511;3626;662
312;22.04.2011;1433;2490;1664;1475
313;23.04.2011;697;788;5433;1872
314;24.04.2011;6149;2464;2089;689
315;25.04.2011;5382;3474;4141;464
316;26.04.2011;6956;1828;3164;1630
317;27.04.2011;4706;2361;1328;1837
318;28.04.2011;6323;287;2077;1959
319;29.04.2011;7336;3888;5703;847
320;30.04.2011;1214;2287;684;1611
321;01.05.2011;4192;3280;5368;1142
322;02.05.2011;6271;3108;5218;335
323;03.05.2011;5365;478;5777;253
324;04.05.2011;7103;2609;2302;551
325;05.05.2011;7786;2542;5509;1384
326;06.05.2011;7331;690;5113;1834
327;07.05.2011;7574;251;3805;1098
328;08.05.2011;3354;3891;2568;581
329;09.05.2011;4439;3955;3710;528
330;10.05.2011;2605;2211;4858;518
331;11.05.2011;504;1439;3041;1606
332;12.05.2011;6064;2151;3480;1228
333;13.05.2011;7826;1678;716;634
334;14.05.2011;6499;2546;2963;1103
335;15.05.2011;1946;3626;4299;1586
336;16.05.2011;1942;2412;3651;377
337;17.05.2011;5544;3039;4246;1187
338;18.05.2011;5920;423;1180;1834
339;19.05.2011;5632;3975;4771;1181
340;20.05.2011;1152;287;1929;301
341;21.05.2011;1216;2236;5667;1499
342;22.05.2011;2151;2213;3555;1979
343;23.05.2011;3941;3098;282;590
344;24.05.2011;6413;986;3012;790
345;25.05.2011;733;951;620;298
346;26.05.2011;2582;3386;4222;1143
347;27.05.2011;7152;2086;5467;685
348;28.05.2011;5973;1952;3088;1415
349;29.05.2011;7138;2891;2414;375
350;30.05.2011;4139;311;5433;345
351;31.05.2011;1507;2980;3816;1202
352;01.06.2011;756;318;5439;305
353;02.06.2011;2661;3781;4460;405
354;03.06.2011;4612;398;3706;472
355;04.06.2011;6640;593;3278;1237
356;05.06.2011;2652;1381;5383;855
357;06.06.2011;1060;916;3332;1535
358;07.06.2011;6880;1300;3782;1091
359;08.06.2011;2472;3649;5327;1231
360;09.06.2011;3282;3958;3307;472
361;10.06.2011;7850;2368;4883;578
362;11.06.2011;4409;1096;1356;1462
363;12.06.2011;1439;3776;4217;1360
364;13.06.2011;5711;3887;4932;1935
365;14.06.2011;5961;3015;4715;1393
366;15.06.2011;4885;2258;3165;1933
367;16.06.2011;6917;1940;4710;1198
368;17.06.2011;2478;3308;2748;451
369;18.06.2011;3026;1129;261;1336
370;19.06.2011;7802;840;435;1277
371;20.06.2011;1907;1072;4624;966
372;21.06.2011;6932;2542;4191;1948
373;22.06.2011;7805;2020;2918;1548
374;23.06.2011;759;3970;520;1638
375;24.06.2011;5213;3331;2791;1007
376;25.06.2011;7671;2428;4877;1419
377;26.06.2011;1710;431;3260;1690
378;27.06.2011;5788;3597;3968;1408
379;28.06.2011;1135;1102;3396;1519
380;29.06.2011;7543;1218;3220;1874
381;30.06.2011;7938;1335;1753;1469
382;01.07.2011;6368;1151;2366;1261
383;02.07.2011;4910;3445;3486;1448
384;03.07.2011;1651;2725;4301;1183
385;04.07.2011;3548;641;3359;1739
386;05.07.2011;1634;2913;2387;782
387;06.07.2011;2689;3408;5663;1183
388;07.07.2011;3968;3967;1895;322
389;08.07.2011;5771;313;658;1939
390;09.07.2011;6356;2971;4542;923
391;10.07.2011;6660;3277;2110;623
392;11.07.2011;2486;1046;5287;965
393;12.07.2011;1143;1923;2862;1868
394;13.07.2011;2712;1437;2764;1397
395;14.07.2011;3721;1109;1746;580
396;15.07.2011;2546;3402;3411;1417
397;16.07.2011;895;1686;4822;1983
398;17.07.2011;7718;463;2498;1658
399;18.07.2011;7149;1302;2350;953
400;19.07.2011;1566;1307;1597;359
401;20.07.2011;1955;3318;2163;356
402;21.07.2011;6015;3992;671;748
403;22.07.2011;3545;1125;424;514
404;23.07.2011;6333;1417;861;374
405;24.07.2011;1159;1596;2510;1117
406;25.07.2011;5533;790;3008;1370
407;26.07.2011;2394;2624;3755;301
408;27.07.2011;942;1449;5184;1013
409;28.07.2011;974;1473;3836;882
410;29.07.2011;2393;1391;5966;1581
411;30.07.2011;1927;3719;5941;744
412;31.07.2011;4336;744;4717;667
413;01.08.2011;881;2083;4275;1395
414;02.08.2011;377;1438;4673;650
415;03.08.2011;4744;2578;5135;1093
416;04.08.2011;7518;3866;3513;1566
417;05.08.2011;3810;3660;3613;646
418;06.08.2011;2006;3021;723;1599
419;07.08.2011;7996;2672;3317;1163
420;08.08.2011;4517;3855;2217;1318
421;09.08.2011;6869;3710;385;1470
422;10.08.2011;4213;2039;4267;885
423;11.08.2011;1626;261;4407;1308
424;12.08.2011;6939;3374;5423;1719
425;13.08.2011;2697;2842;256;1594
426;14.08.2011;3621;3869;4746;799
427;15.08.2011;6487;358;4249;302
428;16.08.2011;569;1323;928;279
429;17.08.2011;5181;3587;1723;830
430;18.08.2011;4625;2790;2968;722
431;19.08.2011;3560;3584;908;1278
432;20.08.2011;1159;308;3551;376
433;21.08.2011;6072;3939;798;608
434;22.08.2011;4345;1739;4614;356
435;23.08.2011;4532;1526;3813;934
436;24.08.2011;781;2871;2509;252
437;25.08.2011;1763;3022;2505;1764
438;26.08.2011;4914;1502;5703;1029
439;27.08.2011;3758;2253;2487;1905
440;28.08.2011;762;2386;2383;1619
441;29.08.2011;3288;1660;2464;635
442;31.08.2011;4548;1484;1596;1974
443;01.09.2011;3894;1176;1942;999
444;02.09.2011;2407;2033;3516;411
445;03.09.2011;7323;2031;2960;1909
446;04.09.2011;4013;1595;4656;1245
447;05.09.2011;6646;2125;1835;1588
448;06.09.2011;4900;478;5455;812
449;07.09.2011;570;2724;2303;1659
450;08.09.2011;5865;3959;1955;2000
451;09.09.2011;2088;2057;1021;1877
452;10.09.2011;828;1422;2330;385
453;11.09.2011;2908;1678;2921;791
454;12.09.2011;3307;3156;3783;962
455;13.09.2011;2533;1559;2148;1305
456;14.09.2011;2006;2199;1418;787
457;15.09.2011;3149;3848;4622;1556
458;16.09.2011;5173;536;2314;1084
459;17.09.2011;6945;452;4074;1685
460;18.09.2011;5517;554;402;1496
461;19.09.2011;7286;658;3074;1787
462;20.09.2011;1060;298;3553;359
463;21.09.2011;4574;1277;5612;1982
464;22.09.2011;6976;824;946;1860
465;23.09.2011;6260;680;4201;883
466;24.09.2011;2739;1893;5435;1152
467;25.09.2011;4962;657;5358;1011
468;26.09.2011;6734;3868;4565;739
469;27.09.2011;2206;3056;3219;1095
470;28.09.2011;3293;451;4815;1574
471;29.09.2011;6354;2249;1182;1463
472;30.09.2011;4479;2899;370;1132
473;31-9-2011;2242;401;5926;789
474;01.10.2011;4446;2415;909;710
475;02.10.2011;2223;2722;4367;876
476;03.10.2011;6148;3008;3496;421
477;04.10.2011;4169;547;2103;1303
478;05.10.2011;973;415;1371;1215
479;06.10.2011;6945;1183;5025;1018
480;07.10.2011;4838;2021;4597;850
481;08.10.2011;5842;2736;2043;1428
482;09.10.2011;4432;3386;2730;788
483;10.10.2011;913;2127;2791;1959
484;11.10.2011;4887;2621;4349;1627
485;12.10.2011;3765;2648;435;833
486;13.10.2011;7587;2626;717;965
487;14.10.2011;6886;1309;3945;1280
488;15.10.2011;6268;1327;1552;1022
489;16.10.2011;538;958;300;767
490;17.10.2011;5751;876;318;1185
491;18.10.2011;3444;938;1142;1590
492;19.10.2011;1775;3210;4205;1475
493;20.10.2011;7874;3195;4726;1701
494;21.10.2011;1023;2541;2442;653
495;22.10.2011;920;825;4619;1876
496;23.10.2011;5950;1989;4337;685
497;24.10.2011;4290;1761;4022;1311
498;25.10.2011;3525;583;4427;1195
499;26.10.2011;6179;2933;600;748
500;27.10.2011;7806;1309;2961;1896
501;28.10.2011;4256;2133;4999;313
502;29.10.2011;272;381;5848;443
503;30.10.2011;4954;2227;1375;1874
504;01.11.2011;6045;1066;3567;1956
505;02.11.2011;3828;843;5711;787
506;03.11.2011;408;1468;653;1029
507;04.11.2011;3009;2691;422;1209
508;05.11.2011;6034;1156;1667;1162
509;06.11.2011;5920;2458;3343;997
510;07.11.2011;3453;641;4602;490
511;08.11.2011;4159;636;4133;1647
512;09.11.2011;5149;2704;1052;1400
513;10.11.2011;6538;3994;781;684
514;11.11.2011;2924;1779;4618;833
515;12.11.2011;7315;2152;2191;1750
516;13.11.2011;1944;867;806;1566
517;14.11.2011;3204;3748;1413;513
518;15.11.2011;352;1678;4996;1195
519;16.11.2011;6659;2614;2739;539
520;17.11.2011;1891;2797;1348;848
521;18.11.2011;5329;1500;921;608
522;19.11.2011;4246;2283;4580;930
523;20.11.2011;4858;1380;5298;1579
524;21.11.2011;3601;1391;5394;685
525;22.11.2011;331;706;971;1747
526;23.11.2011;800;2981;1059;1221
527;24.11.2011;4043;3560;3609;1556
528;25.11.2011;1626;2586;5137;419
529;26.11.2011;6068;318;1016;1108
530;27.11.2011;1695;3991;5861;1941
531;28.11.2011;5078;1117;5877;642
532;29.11.2011;4860;2740;1815;707
533;30.11.2011;5697;2447;1748;524
534;31-11-2011;325;3476;4588;1771
535;01.12.2011;4718;3906;4908;689
536;02.12.2011;7495;991;5875;1253
537;03.12.2011;2179;1109;436;1228
538;04.12.2011;1829;320;4745;1654
539;05.12.2011;7840;1224;1456;838
540;06.12.2011;7416;2440;2323;622
541;07.12.2011;4940;1710;2477;1397
542;08.12.2011;5349;1475;4706;1737
543;09.12.2011;1671;824;2998;646
544;10.12.2011;4856;2098;1825;1777
545;11.12.2011;3745;3029;4035;718
546;12.12.2011;7639;2698;5939;1417
547;13.12.2011;1330;1080;5382;843
548;14.12.2011;3301;2631;3956;1091
549;15.12.2011;7302;2015;3257;565
550;16.12.2011;4047;3523;4391;1556
551;17.12.2011;3427;1016;4341;1488
552;18.12.2011;6587;2516;5399;1002
553;19.12.2011;4594;480;4663;387
554;20.12.2011;1122;683;5996;1229
555;21.12.2011;2199;1067;3832;1846
556;22.12.2011;1602;3549;2513;1963
557;23.12.2011;467;1052;3673;1748
558;24.12.2011;7289;2475;5561;1259
559;25.12.2011;6624;2497;496;589
560;26.12.2011;6261;3129;3817;439
561;27.12.2011;754;1373;4419;513
562;28.12.2011;3961;1725;1046;1425
563;29.12.2011;4534;1081;4677;1229
564;30.12.2011;5799;2555;2348;1842
565;01.01.2012;4509;2807;4654;1532
566;02.01.2012;4812;1085;5234;1706
567;03.01.2012;6273;3917;4132;1284
568;04.01.2012;3508;1432;3428;786
569;05.01.2012;2904;2928;5457;1620
570;06.01.2012;430;3180;2879;900
571;07.01.2012;878;3222;4327;857
572;08.01.2012;4280;3179;5966;836
573;09.01.2012;6105;1528;569;387
574;10.01.2012;7898;1995;4424;1270
575;11.01.2012;7028;2044;1789;1689
576;12.01.2012;7482;1572;1647;1483
577;13.01.2012;5751;2376;282;1669
578;14.01.2012;4345;534;3409;1738
579;15.01.2012;3301;2169;1336;1104
580;16.01.2012;2341;3573;2447;1309
581;17.01.2012;3725;1870;1253;645
582;18.01.2012;3256;2761;1634;1936
583;19.01.2012;7583;1825;1555;637
584;20.01.2012;7990;376;1367;1526
585;21.01.2012;1930;3066;609;1024
586;22.01.2012;3659;496;2667;907
587;23.01.2012;759;3005;4562;1796
588;24.01.2012;5918;2006;844;1289
589;25.01.2012;5315;3982;3185;934
590;26.01.2012;5413;847;5145;1907
591;27.01.2012;7335;261;4152;627
592;28.01.2012;5146;3705;3047;1045
593;29.01.2012;5013;3898;1192;1767
594;30.01.2012;6471;418;3210;1540
595;31.01.2012;3942;1039;530;703
596;01.02.2012;5065;3279;1159;1033
597;02.02.2012;1013;631;3264;1947
598;03.02.2012;1604;1983;5489;633
599;04.02.2012;5641;3932;1947;1787
600;05.02.2012;5329;3745;3944;1140
601;06.02.2012;2786;633;4220;388
602;07.02.2012;4781;3666;3837;1012
603;08.02.2012;3893;1936;3717;416
604;09.02.2012;1686;2278;2249;779
605;10.02.2012;4362;2120;5186;1334
606;11.02.2012;4885;1817;1706;1555
607;12.02.2012;345;3131;2651;972
608;13.02.2012;2820;3625;2549;1754
609;14.02.2012;6049;3477;5272;347
610;15.02.2012;6985;1214;5688;1457
611;16.02.2012;2272;1243;3982;960
612;17.02.2012;2917;255;1132;1168
613;18.02.2012;6943;3549;1332;1676
614;19.02.2012;4423;875;4463;865
615;20.02.2012;6282;2035;3455;899
616;21.02.2012;7583;1469;2906;1052
617;22.02.2012;3270;3705;3767;347
618;23.02.2012;3683;2282;2008;525
619;24.02.2012;6552;1457;4075;1534
620;25.02.2012;3332;1890;5676;707
621;26.02.2012;4038;3603;4442;894
622;27.02.2012;2024;3068;4981;574
623;01.03.2012;2977;776;3731;1669
624;02.03.2012;3533;1482;2222;1790
625;03.03.2012;5747;1032;2250;573
626;04.03.2012;2975;1274;464;1975
627;05.03.2012;395;3115;5727;265
628;06.03.2012;1594;2990;2279;547
629;07.03.2012;3579;1137;4177;1427
630;08.03.2012;3397;3225;5508;664
631;09.03.2012;5626;2880;3786;1768
632;10.03.2012;792;2742;5158;1505
633;11.03.2012;2141;464;265;870
634;12.03.2012;392;2659;5805;1491
635;13.03.2012;3363;729;4498;1166
636;14.03.2012;2636;3032;1502;1141
637;15.03.2012;2861;2512;429;320
638;16.03.2012;3939;748;1100;728
639;17.03.2012;3863;1259;5300;960
640;18.03.2012;3565;3746;4954;2000
641;19.03.2012;5964;305;1441;1729
642;20.03.2012;394;2889;784;1639
643;21.03.2012;1321;3008;2360;1418
644;22.03.2012;4471;612;5155;1260
645;23.03.2012;5930;3602;3659;1548
646;24.03.2012;1830;3371;652;1265
647;25.03.2012;6674;2420;872;766
648;26.03.2012;4214;3501;3964;1145
649;27.03.2012;431;1943;5869;1915
650;28.03.2012;2337;982;1970;964
651;29.03.2012;4712;3810;4462;877
652;30.03.2012;2055;3870;5968;251
653;31.03.2012;5314;1435;3269;1220
654;01.04.2012;1434;1002;5702;439
655;02.04.2012;6486;829;4413;1196
656;03.04.2012;4554;2235;5375;1660
657;04.04.2012;7170;796;3843;1109
658;05.04.2012;5183;2233;2631;376
659;06.04.2012;5010;917;4451;1713
660;07.04.2012;6583;2757;1199;1801
661;08.04.2012;6574;1103;4475;1465
662;09.04.2012;7514;1288;1313;288
663;10.04.2012;5208;2196;4442;1505
664;11.04.2012;981;3014;575;1358
665;12.04.2012;1307;1364;3149;1261
666;13.04.2012;5955;1328;1169;1109
667;14.04.2012;5024;3803;409;851
668;15.04.2012;1966;1469;5632;1152
669;16.04.2012;7538;2518;2017;1175
670;17.04.2012;7189;1385;3309;320
671;18.04.2012;6854;1159;5474;532
672;19.04.2012;7421;2459;5607;1045
673;20.04.2012;2008;3492;4775;1318
674;21.04.2012;3914;2615;5922;737
675;22.04.2012;1339;1947;3441;426
676;23.04.2012;2978;1909;4227;541
677;24.04.2012;3678;2961;2331;900
678;25.04.2012;6854;3455;5228;536
679;26.04.2012;4897;3087;1736;455
680;27.04.2012;6596;793;5048;661
681;28.04.2012;699;1322;3173;1783
682;29.04.2012;5429;1076;2683;1737
683;30.04.2012;5322;2324;1362;1268
684;01.05.2012;3994;2319;2623;1189
685;02.05.2012;6741;2102;4125;369
686;03.05.2012;1425;3500;2509;1193
687;04.05.2012;5652;1960;5480;1127
688;05.05.2012;1987;2449;3961;1350
689;06.05.2012;2685;1973;3507;1632
690;07.05.2012;492;3298;3895;782
691;08.05.2012;4226;2563;3636;1041
